iter	Passed	Remaining
0	156	156738
1	158	79141
2	159	53145
3	160	40036
4	161	32156
5	162	26899
6	163	23143
7	163	20310
8	164	18102
9	165	16338
10	165	14910
11	166	13722
12	167	12707
13	167	11831
14	169	11142
15	171	10552
16	172	9966
17	172	9436
18	173	8961
19	174	8534
20	174	8150
21	175	7800
22	176	7479
23	176	7183
24	177	6915
25	177	6667
26	178	6440
27	179	6229
28	180	6031
29	180	5844
30	181	5669
31	182	5505
32	182	5357
33	183	5215
34	184	5081
35	185	4958
36	185	4840
37	187	4736
38	187	4629
39	188	4522
40	189	4421
41	189	4326
42	190	4235
43	191	4150
44	191	4070
45	192	3993
46	193	3917
47	193	3844
48	194	3774
49	195	3708
50	196	3659
51	199	3629
52	200	3579
53	201	3521
54	201	3468
55	202	3414
56	203	3364
57	204	3315
58	204	3268
59	205	3221
60	206	3175
61	207	3132
62	207	3090
63	208	3049
64	209	3009
65	209	2970
66	211	2948
67	214	2946
68	215	2909
69	216	2874
70	217	2839
71	217	2806
72	218	2774
73	219	2743
74	219	2712
75	220	2682
76	221	2652
77	221	2623
78	222	2594
79	223	2566
80	223	2539
81	224	2513
82	224	2484
83	226	2467
84	227	2445
85	228	2430
86	229	2408
87	230	2385
88	230	2363
89	231	2342
90	232	2321
91	233	2300
92	233	2280
93	234	2260
94	235	2240
95	235	2220
96	236	2201
97	237	2182
98	237	2163
99	238	2146
100	239	2128
101	239	2111
102	240	2096
103	241	2081
104	246	2102
105	247	2087
106	248	2071
107	248	2055
108	249	2039
109	250	2024
110	250	2009
111	251	1994
112	252	1980
113	252	1965
114	253	1951
115	254	1937
116	255	1927
117	257	1924
118	258	1916
119	259	1904
120	260	1891
121	261	1878
122	261	1866
123	262	1854
124	263	1842
125	263	1830
126	264	1818
127	265	1807
128	266	1796
129	266	1785
130	267	1774
131	268	1763
132	268	1752
133	270	1749
134	273	1755
135	274	1745
136	275	1735
137	276	1726
138	277	1716
139	277	1706
140	278	1696
141	279	1686
142	279	1676
143	280	1667
144	281	1658
145	281	1649
146	282	1640
147	283	1631
148	284	1627
149	288	1636
150	289	1629
151	290	1620
152	291	1612
153	291	1603
154	292	1595
155	293	1587
156	294	1579
157	294	1571
158	295	1563
159	296	1555
160	296	1546
161	297	1539
162	298	1531
163	299	1524
164	300	1522
165	303	1523
166	304	1517
167	305	1510
168	305	1504
169	306	1497
170	307	1491
171	308	1484
172	309	1477
173	309	1470
174	310	1463
175	311	1456
176	311	1449
177	312	1443
178	313	1436
179	313	1429
180	314	1424
181	315	1419
182	317	1417
183	318	1413
184	319	1407
185	320	1401
186	320	1394
187	321	1388
188	322	1382
189	322	1376
190	323	1370
191	324	1364
192	325	1358
193	325	1353
194	326	1347
195	327	1341
196	327	1336
197	328	1330
198	329	1326
199	330	1322
200	331	1319
201	333	1318
202	334	1313
203	335	1308
204	336	1303
205	336	1298
206	337	1293
207	338	1288
208	339	1283
209	339	1278
210	340	1273
211	341	1268
212	341	1263
213	342	1258
214	343	1255
215	344	1251
216	345	1247
217	347	1245
218	348	1241
219	348	1236
220	349	1232
221	350	1227
222	350	1222
223	351	1218
224	352	1213
225	352	1208
226	353	1204
227	354	1199
228	355	1195
229	355	1190
230	356	1187
231	357	1183
232	359	1182
233	360	1179
234	361	1176
235	362	1173
236	363	1169
237	363	1164
238	364	1160
239	365	1156
240	365	1152
241	366	1148
242	367	1143
243	367	1139
244	368	1135
245	369	1131
246	370	1128
247	371	1125
248	372	1122
249	374	1123
250	375	1120
251	377	1119
252	378	1117
253	379	1113
254	379	1109
255	380	1106
256	381	1102
257	382	1099
258	383	1096
259	384	1093
260	384	1089
261	385	1086
262	386	1082
263	387	1078
264	388	1077
265	389	1074
266	390	1072
267	391	1069
268	392	1065
269	392	1062
270	393	1059
271	394	1055
272	395	1052
273	396	1049
274	396	1046
275	397	1043
276	398	1040
277	399	1036
278	399	1033
279	400	1029
280	401	1027
281	402	1024
282	403	1021
283	404	1019
284	405	1017
285	406	1014
286	407	1011
287	407	1007
288	408	1004
289	409	1001
290	409	998
291	410	995
292	411	992
293	412	989
294	412	986
295	413	984
296	414	981
297	415	978
298	416	975
299	416	972
300	418	970
301	419	969
302	420	967
303	421	964
304	421	961
305	422	958
306	423	955
307	424	952
308	424	950
309	425	947
310	426	944
311	426	941
312	427	938
313	428	935
314	428	932
315	429	930
316	430	927
317	431	925
318	432	923
319	433	922
320	434	919
321	435	917
322	436	914
323	437	911
324	437	909
325	438	906
326	439	904
327	440	901
328	440	899
329	441	896
330	442	894
331	443	891
332	443	888
333	444	886
334	445	884
335	446	881
336	447	879
337	448	878
338	449	876
339	450	874
340	451	871
341	451	869
342	452	866
343	453	864
344	454	861
345	454	859
346	455	857
347	456	854
348	456	852
349	457	849
350	458	847
351	458	844
352	460	843
353	460	841
354	462	839
355	463	839
356	464	837
357	465	835
358	466	832
359	467	830
360	468	829
361	469	826
362	469	824
363	470	822
364	471	820
365	472	818
366	472	815
367	473	813
368	474	811
369	475	809
370	476	808
371	477	806
372	478	804
373	479	802
374	480	801
375	481	799
376	482	796
377	482	794
378	483	792
379	484	790
380	485	788
381	485	785
382	486	783
383	487	781
384	489	781
385	490	779
386	491	778
387	492	776
388	493	774
389	494	772
390	494	770
391	495	768
392	496	766
393	497	764
394	497	762
395	498	760
396	499	758
397	500	757
398	501	755
399	502	753
400	503	751
401	505	752
402	508	752
403	508	750
404	509	748
405	510	746
406	511	745
407	512	744
408	513	742
409	514	740
410	515	738
411	516	736
412	517	735
413	519	735
414	520	733
415	522	733
416	524	732
417	524	730
418	525	728
419	526	727
420	527	725
421	528	723
422	528	721
423	529	719
424	530	717
425	531	715
426	532	714
427	533	712
428	534	711
429	535	709
430	537	709
431	538	707
432	539	706
433	539	704
434	540	702
435	541	700
436	541	698
437	542	696
438	543	694
439	543	692
440	544	690
441	545	688
442	546	686
443	547	686
444	548	684
445	551	685
446	552	683
447	553	682
448	554	680
449	554	678
450	555	676
451	556	674
452	557	672
453	557	671
454	558	669
455	559	667
456	560	665
457	561	664
458	561	662
459	562	660
460	563	659
461	565	659
462	566	657
463	567	655
464	568	654
465	569	652
466	570	650
467	570	648
468	571	647
469	572	645
470	573	643
471	574	642
472	574	640
473	575	638
474	576	637
475	577	635
476	578	634
477	580	633
478	581	632
479	582	631
480	583	629
481	584	627
482	584	625
483	585	624
484	586	622
485	587	620
486	587	619
487	588	617
488	589	615
489	590	614
490	590	612
491	592	611
492	593	609
493	593	608
494	595	607
495	596	606
496	597	604
497	597	602
498	598	601
499	599	599
500	600	597
501	601	596
502	602	594
503	603	593
504	604	592
505	604	590
506	605	589
507	606	587
508	607	586
509	608	584
510	610	584
511	611	583
512	612	581
513	613	580
514	614	578
515	614	576
516	615	575
517	616	573
518	617	571
519	617	570
520	618	568
521	619	567
522	620	566
523	621	564
524	622	563
525	624	562
526	625	561
527	626	559
528	626	558
529	627	556
530	628	554
531	629	553
532	629	551
533	630	550
534	631	548
535	631	547
536	632	545
537	633	543
538	634	542
539	635	541
540	636	540
541	638	539
542	639	538
543	640	536
544	640	535
545	641	533
546	642	531
547	643	530
548	643	528
549	644	527
550	645	525
551	645	524
552	646	522
553	647	521
554	649	520
555	649	519
556	651	518
557	652	516
558	653	515
559	653	513
560	654	512
561	655	510
562	656	509
563	656	507
564	657	506
565	658	504
566	658	503
567	659	501
568	660	500
569	661	498
570	661	497
571	662	495
572	663	494
573	664	493
574	665	491
575	666	490
576	667	489
577	668	487
578	669	486
579	670	485
580	670	483
581	671	482
582	672	480
583	673	479
584	673	477
585	674	476
586	675	475
587	675	473
588	676	472
589	677	470
590	678	469
591	679	468
592	681	467
593	682	466
594	683	465
595	684	463
596	685	462
597	686	461
598	686	459
599	687	458
600	688	456
601	689	455
602	689	454
603	690	452
604	691	451
605	693	450
606	694	449
607	695	448
608	696	447
609	697	445
610	697	444
611	698	442
612	699	441
613	699	439
614	700	438
615	701	437
616	701	435
617	702	434
618	703	432
619	704	431
620	704	430
621	705	428
622	706	427
623	707	426
624	708	425
625	709	423
626	710	422
627	711	421
628	712	420
629	713	418
630	714	417
631	714	416
632	715	414
633	716	413
634	717	412
635	717	410
636	718	409
637	719	408
638	720	406
639	720	405
640	721	404
641	722	402
642	723	401
643	735	406
644	736	405
645	738	404
646	739	403
647	741	402
648	742	401
649	743	400
650	743	398
651	744	397
652	745	396
653	746	394
654	746	393
655	747	391
656	748	390
657	748	389
658	749	387
659	750	386
660	750	385
661	752	384
662	753	382
663	754	381
664	755	380
665	756	379
666	757	378
667	758	377
668	759	375
669	760	374
670	761	373
671	761	371
672	762	370
673	763	369
674	763	367
675	764	366
676	765	365
677	767	364
678	769	363
679	770	362
680	771	361
681	771	359
682	772	358
683	773	357
684	773	355
685	774	354
686	775	353
687	776	351
688	776	350
689	777	349
690	778	347
691	778	346
692	779	345
693	780	344
694	781	342
695	782	341
696	783	340
697	784	339
698	785	338
699	786	337
700	787	335
701	787	334
702	788	333
703	789	331
704	790	330
705	790	329
706	791	328
707	792	326
708	793	325
709	793	324
710	794	322
711	795	321
712	796	320
713	797	319
714	799	318
715	799	317
716	800	316
717	801	314
718	802	313
719	803	312
720	803	311
721	804	309
722	805	308
723	806	307
724	806	306
725	807	304
726	808	303
727	808	302
728	810	301
729	811	300
730	813	299
731	814	298
732	815	296
733	815	295
734	816	294
735	817	293
736	818	291
737	818	290
738	819	289
739	820	288
740	821	286
741	821	285
742	822	284
743	823	283
744	823	281
745	825	281
746	827	280
747	828	279
748	829	277
749	829	276
750	830	275
751	831	274
752	832	272
753	832	271
754	833	270
755	834	269
756	834	267
757	835	266
758	836	265
759	836	264
760	837	263
761	838	261
762	839	260
763	840	259
764	841	258
765	843	257
766	844	256
767	845	255
768	846	254
769	847	253
770	848	252
771	849	250
772	850	249
773	850	248
774	851	247
775	852	245
776	852	244
777	853	243
778	854	242
779	856	241
780	857	240
781	858	239
782	859	238
783	860	237
784	861	235
785	861	234
786	862	233
787	863	232
788	863	231
789	864	229
790	865	228
791	866	227
792	866	226
793	868	225
794	869	224
795	871	223
796	872	222
797	873	221
798	873	219
799	874	218
800	875	217
801	876	216
802	876	215
803	877	213
804	878	212
805	878	211
806	879	210
807	880	209
808	880	207
809	881	206
810	882	205
811	883	204
812	884	203
813	885	202
814	887	201
815	888	200
816	889	199
817	889	197
818	890	196
819	891	195
820	892	194
821	893	193
822	893	192
823	894	191
824	895	189
825	895	188
826	896	187
827	897	186
828	898	185
829	901	184
830	902	183
831	903	182
832	904	181
833	905	180
834	905	179
835	906	177
836	907	176
837	908	175
838	909	174
839	909	173
840	910	172
841	911	170
842	912	169
843	913	168
844	914	167
845	916	166
846	916	165
847	917	164
848	918	163
849	919	162
850	919	161
851	920	159
852	921	158
853	921	157
854	922	156
855	923	155
856	923	154
857	924	153
858	925	151
859	926	150
860	927	149
861	928	148
862	930	147
863	931	146
864	932	145
865	933	144
866	934	143
867	935	142
868	935	141
869	936	139
870	937	138
871	938	137
872	938	136
873	939	135
874	940	134
875	941	133
876	944	132
877	945	131
878	946	130
879	947	129
880	948	128
881	949	126
882	950	125
883	952	124
884	953	123
885	954	122
886	955	121
887	960	121
888	963	120
889	964	119
890	965	118
891	966	117
892	967	115
893	968	114
894	969	113
895	970	112
896	972	111
897	976	110
898	977	109
899	978	108
900	978	107
901	979	106
902	980	105
903	981	104
904	982	103
905	983	102
906	984	100
907	985	99
908	987	98
909	988	97
910	991	96
911	992	95
912	993	94
