iter	Passed	Remaining
0	138	138104
1	139	69754
2	141	46921
3	142	35511
4	144	28677
5	146	24334
6	149	21174
7	151	18725
8	152	16794
9	153	15241
10	155	13949
11	156	12868
12	157	11953
13	160	11280
14	161	10614
15	162	10019
16	164	9489
17	165	9011
18	166	8576
19	166	8178
20	167	7819
21	168	7492
22	169	7193
23	170	6919
24	170	6667
25	172	6457
26	173	6246
27	174	6062
28	175	5886
29	176	5713
30	177	5550
31	178	5394
32	179	5246
33	179	5104
34	180	4971
35	180	4845
36	181	4725
37	182	4613
38	182	4505
39	183	4403
40	184	4305
41	184	4212
42	185	4123
43	185	4038
44	186	3964
45	188	3901
46	189	3832
47	189	3763
48	190	3696
49	191	3632
50	191	3569
51	192	3508
52	193	3448
53	193	3391
54	194	3337
55	194	3284
56	195	3233
57	196	3183
58	196	3135
59	197	3089
60	197	3045
61	198	3001
62	199	2960
63	199	2920
64	200	2880
65	201	2848
66	202	2826
67	203	2787
68	204	2755
69	204	2722
70	205	2689
71	206	2658
72	206	2627
73	207	2596
74	208	2566
75	208	2537
76	209	2509
77	209	2481
78	210	2455
79	211	2429
80	211	2403
81	212	2378
82	213	2354
83	213	2331
84	214	2307
85	215	2285
86	215	2263
87	217	2252
88	218	2233
89	218	2213
90	219	2193
91	220	2173
92	220	2154
93	221	2135
94	222	2117
95	222	2099
96	223	2081
97	224	2063
98	224	2047
99	225	2030
100	226	2014
101	226	1995
102	227	1979
103	228	1965
104	228	1951
105	229	1937
106	230	1925
107	231	1913
108	232	1900
109	233	1887
110	233	1873
111	234	1860
112	235	1847
113	236	1834
114	236	1821
115	237	1807
116	237	1795
117	238	1782
118	239	1769
119	239	1758
120	240	1746
121	241	1734
122	241	1721
123	242	1711
124	243	1701
125	243	1691
126	244	1681
127	245	1670
128	245	1660
129	246	1652
130	247	1643
131	248	1634
132	249	1625
133	249	1615
134	250	1606
135	251	1597
136	252	1588
137	252	1579
138	253	1570
139	254	1561
140	254	1552
141	255	1544
142	256	1536
143	257	1528
144	257	1520
145	258	1512
146	259	1505
147	261	1503
148	262	1497
149	263	1490
150	263	1483
151	264	1476
152	265	1468
153	266	1461
154	266	1454
155	267	1446
156	268	1439
157	268	1432
158	269	1425
159	270	1418
160	270	1412
161	271	1405
162	272	1399
163	273	1392
164	273	1385
165	274	1379
166	275	1374
167	276	1371
168	277	1366
169	278	1361
170	279	1355
171	280	1348
172	280	1342
173	281	1337
174	282	1331
175	283	1325
176	284	1320
177	284	1315
178	285	1310
179	286	1304
180	286	1297
181	287	1292
182	288	1286
183	288	1281
184	290	1277
185	291	1273
186	291	1269
187	292	1264
188	293	1258
189	294	1253
190	294	1248
191	295	1243
192	296	1238
193	296	1233
194	297	1228
